HDI_rank;Human_Development _Level(HDL);Countries;Imports_of_goods_and_services_(% of GDP)_1990;Imports_of_goods_and_services_(% of GDP)_2005;Exports_of_goods_and_services_ (% of GDP)_1990;Exports_of_goods_and_services_ (% of GDP)_2005;Primary_exportsa_ (% of merchandise exports)_1990;Primary_exportsa_ (% of merchandise exports)_2005;Manufactured exports_(% of merchandise exports)_1990;Manufactured_exports_ (% of merchandise exports)_2005;High_technology_exports_(% of manufactured exports)_1990;High_technology_exports_(% of manufactured exports)_2005;Terms_of_trade_ (2000=100)b_2004-05c
117;Medium;Bolivia;24;33;23;36;95;89;5;11;6 ,8;9 ,2;108
118;Medium;Guatemala;25;30;21;16;76;43;24;57; ;3 ,2;93
119;Medium;Gabon;31;39;46;59; ;93; ;7; ;14 ,5;125
120;Medium;Vanuatu;77; ;49; ;87;92;13;8;19 ,8;1 ,2; 
121;Medium;South Africa;19;29;24;27;29;43;29;57;6 ,8;6 ,6;109
122;Medium;Tajikistan;35;73;28;54; ;87; ;13; ;41 ,8; 
123;Medium;Sao Tome and Principe;72;99;14;40; ; ; ; ; ; ;137
124;Medium;Botswana;50;35;55;51; ;13; ;86; ;0 ,2;92
125;Medium;Namibia;67;45;52;46; ;58; ;41; ;2 ,9;97
126;Medium;Morocco;32;43;26;36;48;35;52;65; ;10 ,1;100
127;Medium;Equatorial Guinea;70; ;32; ; ; ; ; ; ; ;124
128;Medium;India;9;24;7;21;28;29;70;70;2 ,4;4 ,9;76
129;Medium;Solomon Islands;73;46;47;48;109; ; ; ; ; ; 
130;Medium;Lao People's Democratic Republic;25;31;12;27; ; ; ; ; ; ; 
131;Medium;Cambodia;13;74;6;65; ;3; ;97; ;0 ,2; 
132;Medium;Myanmar;5; ;3; ;89; ;11; ;3 ,0; ;102
133;Medium;Bhutan;31;55;27;27;58; ;42; ; ; ; 
134;Medium;Comoros;37;35;14;12; ;89; ;8; ;0 ,5;58
135;Medium;Ghana;26;62;17;36;92;88;8;12;2 ,1;9 ,3;123
136;Medium;Pakistan;23;20;16;15;21;18;79;82;0 ,4;1 ,6;75
137;Medium;Mauritania;61;95;46;36; ; ; ; ; ; ;95
138;Medium;Lesotho;122;88;17;48; ; ; ; ; ; ;91
139;Medium;Congo;46;55;54;82; ; ; ; ; ; ;121
140;Medium;Bangladesh;14;23;6;17;22;10;77;90;0 ,1; ;88
141;Medium;Swaziland;87;95;75;88; ;23; ;76; ;0 ,5;94
142;Medium;Nepal;21;33;11;16;17;26;83;74; ;0 ,1; 
143;Medium;Madagascar;28;40;17;26;85;76;14;22;7 ,5;0 ,8;82
144;Medium;Cameroon;17;25;20;23;91;85;9;3;3 ,1;2 ,0;112
145;Medium;Papua New Guinea;49;54;41;45;89;94;10;6; ;39 ,4; 
146;Medium;Haiti;20;45;18;16;15; ;85; ;13 ,8; ;87
147;Medium;Sudan; ;28; ;18;98;99;2; ; ; ;121
148;Medium;Kenya;31;35;26;27;70;79;30;21;3 ,9;3 ,1; 
149;Medium;Djibouti;78;54;54;37;44; ;8; ; ; ; 
150;Medium;Timor-Leste; ; ; ; ; ; ; ; ; ; ; 
151;Medium;Zimbabwe;23;53;23;43;68;72;31;28;1 ,5;0 ,9;104
152;Medium;Togo;45;47;33;34;89;42;9;58;0 ,6;0 ,1;30
153;Medium;Yemen;20;38;14;46;85;96;15;4; ;5 ,3; 
154;Medium;Uganda;19;27;7;13; ;83; ;17; ;14 ,0;88
155;Medium;Gambia;72;65;60;45; ;84; ;17; ;5 ,9;115
156;Low;Senegal;30;42;25;27;77;55;23;43; ;11 ,7;96
157;Low;Eritrea;45;56;11;9; ; ; ; ; ; ;93
158;Low;Nigeria;29;35;43;53;99;98;1;2; ;1 ,7;122
159;Low;Tanzania (United Republic of);37;26;13;17; ;85; ;14; ;0 ,8;100
160;Low;Guinea;31;30;31;26; ;75; ;25; ; ;106
161;Low;Rwanda;14;31;6;11; ;90; ;10; ;25 ,4;89
162;Low;Angola;21;48;39;74;100; ; ; ; ; ;121
163;Low;Benin;26;26;14;13;87;87;13;13; ;0 ,3;93
164;Low;Malawi;33;53;24;27;93;84;7;16;3 ,8;7 ,5;82
165;Low;Zambia;37;25;36;16; ;91; ;9; ;1 ,1;119
166;Low;Côte d'Ivoire;27;42;32;50; ;78; ;20; ;8 ,4;121
167;Low;Burundi;28;36;8;8; ;94; ;6; ;5 ,9;84
168;Low;Congo (Democratic Republic of the);29;39;30;32; ; ; ; ; ; ;94
169;Low;Ethiopia;9;39;6;16; ;89; ;11; ;0 ,2;91
170;Low;Chad;28;39;13;59; ; ; ; ; ; ;101
171;Low;Central African Republic;28;17;15;12;56;59;44;36; ; ;99
172;Low;Mozambique;36;42;8;33; ;89; ;7; ;7 ,5;94
173;Low;Mali;34;37;17;26;98;44;2;55; ;6 ,6;113
174;Low;Niger;22;24;15;15; ;91; ;8; ;3 ,2;131
175;Low;Guinea-Bissau;37;55;10;38; ; ; ; ; ; ;94
176;Low;Burkina Faso;24;22;11;9; ;92; ;8; ;9 ,8;97
177;Low;Sierra Leone;24;43;22;24; ;93; ;7; ;31 ,1;78
